,Unnamed: 0,store_nbr,family,order,seasonal_order
21,21,35,LINGERIE,"(2, 0, 2)","(0, 0, 0, 0)"
22,22,35,"LIQUOR,WINE,BEER","(3, 0, 2)","(0, 0, 0, 0)"
23,23,35,MAGAZINES,"(1, 1, 1)","(0, 0, 0, 7)"
24,24,35,MEATS,"(3, 0, 4)","(0, 0, 0, 0)"
25,25,35,PERSONAL CARE,"(1, 0, 3)","(0, 0, 0, 0)"
26,26,35,PET SUPPLIES,"(2, 1, 4)","(0, 0, 0, 7)"
27,27,35,PLAYERS AND ELECTRONICS,"(4, 0, 4)","(0, 0, 0, 0)"
28,28,35,POULTRY,"(1, 0, 1)","(0, 0, 0, 0)"
29,29,35,PREPARED FOODS,"(1, 0, 2)","(0, 0, 0, 0)"
30,30,35,PRODUCE,"(3, 0, 4)","(0, 0, 0, 0)"
31,31,35,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 4)","(0, 0, 0, 0)"
32,32,35,SEAFOOD,"(1, 0, 3)","(0, 0, 0, 0)"
0,0,36,AUTOMOTIVE,"(2, 0, 4)","(0, 0, 0, 0)"
1,1,36,BABY CARE,"(4, 0, 3)","(0, 0, 0, 0)"
2,2,36,BEAUTY,"(2, 0, 2)","(0, 0, 0, 0)"
3,3,36,BEVERAGES,"(2, 1, 1)","(1, 0, 1, 7)"
4,4,36,BOOKS,-1,-1
5,5,36,BREAD/BAKERY,"(4, 0, 3)","(0, 0, 0, 0)"
6,6,36,CELEBRATION,"(2, 0, 2)","(0, 0, 0, 0)"
7,7,36,CLEANING,"(3, 0, 2)","(0, 0, 0, 0)"
8,8,36,DAIRY,"(1, 1, 2)","(1, 0, 1, 7)"
9,9,36,DELI,"(3, 0, 4)","(0, 0, 0, 0)"
10,10,36,EGGS,"(1, 0, 1)","(0, 0, 0, 0)"
11,11,36,FROZEN FOODS,"(1, 0, 2)","(0, 0, 0, 0)"
12,12,36,GROCERY I,"(3, 0, 3)","(0, 0, 0, 0)"
13,13,36,GROCERY II,"(4, 0, 3)","(0, 0, 0, 0)"
14,14,36,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,36,HOME AND KITCHEN I,"(1, 0, 2)","(0, 0, 0, 0)"
16,16,36,HOME AND KITCHEN II,"(3, 1, 3)","(2, 0, 1, 7)"
17,17,36,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,36,HOME CARE,"(2, 1, 2)","(2, 0, 2, 7)"
19,19,36,LADIESWEAR,"(2, 0, 4)","(0, 0, 0, 0)"
20,20,36,LAWN AND GARDEN,"(2, 1, 2)","(2, 0, 2, 7)"
21,21,36,LINGERIE,"(1, 0, 1)","(0, 0, 0, 0)"
22,22,36,"LIQUOR,WINE,BEER","(3, 0, 4)","(0, 0, 0, 0)"
23,23,36,MAGAZINES,"(4, 0, 4)","(0, 0, 0, 0)"
24,24,36,MEATS,"(4, 0, 3)","(0, 0, 0, 0)"
25,25,36,PERSONAL CARE,"(4, 0, 1)","(0, 0, 0, 0)"
26,26,36,PET SUPPLIES,"(4, 1, 1)","(0, 0, 0, 7)"
27,27,36,PLAYERS AND ELECTRONICS,"(2, 0, 2)","(0, 0, 0, 0)"
28,28,36,POULTRY,"(4, 0, 3)","(0, 0, 0, 0)"
29,29,36,PREPARED FOODS,"(4, 0, 3)","(0, 0, 0, 0)"
30,30,36,PRODUCE,"(0, 1, 1)","(1, 0, 2, 7)"
31,31,36,SCHOOL AND OFFICE SUPPLIES,"(1, 0, 1)","(0, 0, 0, 0)"
32,32,36,SEAFOOD,"(4, 0, 1)","(0, 0, 0, 0)"
0,0,37,AUTOMOTIVE,"(1, 0, 2)","(0, 0, 0, 0)"
1,1,37,BABY CARE,"(1, 0, 4)","(0, 0, 0, 0)"
2,2,37,BEAUTY,"(1, 0, 2)","(0, 0, 0, 0)"
3,3,37,BEVERAGES,"(4, 0, 3)","(0, 0, 0, 0)"
4,4,37,BOOKS,"(3, 0, 4)","(0, 0, 0, 0)"
5,5,37,BREAD/BAKERY,"(3, 0, 4)","(0, 0, 0, 0)"
6,6,37,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,37,CLEANING,"(2, 0, 2)","(0, 0, 0, 0)"
8,8,37,DAIRY,"(4, 1, 4)","(2, 0, 2, 7)"
9,9,37,DELI,"(2, 0, 1)","(0, 0, 0, 0)"
10,10,37,EGGS,"(1, 1, 1)","(2, 0, 2, 7)"
11,11,37,FROZEN FOODS,"(3, 0, 4)","(0, 0, 0, 0)"
12,12,37,GROCERY I,"(2, 0, 2)","(0, 0, 0, 0)"
13,13,37,GROCERY II,"(3, 0, 2)","(0, 0, 0, 0)"
14,14,37,HARDWARE,"(1, 0, 2)","(0, 0, 0, 0)"
15,15,37,HOME AND KITCHEN I,"(1, 0, 1)","(0, 0, 0, 0)"
16,16,37,HOME AND KITCHEN II,"(3, 0, 4)","(0, 0, 0, 0)"
17,17,37,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,37,HOME CARE,"(4, 0, 3)","(0, 0, 0, 0)"
19,19,37,LADIESWEAR,"(4, 0, 4)","(0, 0, 0, 0)"
20,20,37,LAWN AND GARDEN,"(2, 1, 1)","(1, 0, 1, 7)"
21,21,37,LINGERIE,"(3, 0, 2)","(0, 0, 0, 0)"
22,22,37,"LIQUOR,WINE,BEER","(4, 0, 3)","(0, 0, 0, 0)"
23,23,37,MAGAZINES,"(2, 1, 3)","(1, 0, 1, 7)"
24,24,37,MEATS,"(3, 0, 3)","(0, 0, 0, 0)"
25,25,37,PERSONAL CARE,"(3, 0, 2)","(0, 0, 0, 0)"
26,26,37,PET SUPPLIES,"(1, 0, 1)","(0, 0, 0, 0)"
27,27,37,PLAYERS AND ELECTRONICS,"(1, 0, 2)","(0, 0, 0, 0)"
28,28,37,POULTRY,"(0, 1, 3)","(2, 0, 2, 7)"
29,29,37,PREPARED FOODS,"(1, 1, 1)","(1, 0, 1, 7)"
30,30,37,PRODUCE,"(3, 0, 4)","(0, 0, 0, 0)"
31,31,37,SCHOOL AND OFFICE SUPPLIES,"(2, 0, 2)","(0, 0, 0, 0)"
32,32,37,SEAFOOD,"(1, 0, 2)","(0, 0, 0, 0)"
0,0,38,AUTOMOTIVE,"(1, 0, 2)","(0, 0, 0, 0)"
1,1,38,BABY CARE,"(1, 0, 1)","(0, 0, 0, 0)"
2,2,38,BEAUTY,"(4, 0, 4)","(0, 0, 0, 0)"
3,3,38,BEVERAGES,"(1, 0, 2)","(0, 0, 0, 0)"
4,4,38,BOOKS,"(1, 0, 1)","(0, 0, 0, 0)"
5,5,38,BREAD/BAKERY,"(3, 0, 2)","(0, 0, 0, 0)"
6,6,38,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,38,CLEANING,"(3, 0, 4)","(0, 0, 0, 0)"
8,8,38,DAIRY,"(3, 1, 0)","(1, 0, 1, 7)"
9,9,38,DELI,"(1, 0, 2)","(0, 0, 0, 0)"
10,10,38,EGGS,"(2, 1, 2)","(1, 0, 2, 7)"
11,11,38,FROZEN FOODS,"(1, 0, 1)","(0, 0, 0, 0)"
12,12,38,GROCERY I,"(3, 0, 3)","(0, 0, 0, 0)"
13,13,38,GROCERY II,"(1, 0, 2)","(0, 0, 0, 0)"
14,14,38,HARDWARE,"(1, 0, 2)","(0, 0, 0, 0)"
15,15,38,HOME AND KITCHEN I,"(1, 0, 2)","(0, 0, 0, 0)"
16,16,38,HOME AND KITCHEN II,"(4, 0, 1)","(0, 0, 0, 0)"
17,17,38,HOME APPLIANCES,"(2, 0, 2)","(0, 0, 0, 0)"
18,18,38,HOME CARE,"(3, 0, 4)","(0, 0, 0, 0)"
19,19,38,LADIESWEAR,"(4, 0, 4)","(0, 0, 0, 0)"
20,20,38,LAWN AND GARDEN,"(0, 1, 3)","(2, 0, 2, 7)"
21,21,38,LINGERIE,"(4, 0, 4)","(0, 0, 0, 0)"
22,22,38,"LIQUOR,WINE,BEER","(4, 0, 3)","(0, 0, 0, 0)"
23,23,38,MAGAZINES,"(2, 1, 2)","(2, 0, 2, 7)"
24,24,38,MEATS,"(4, 0, 4)","(0, 0, 0, 0)"
25,25,38,PERSONAL CARE,"(1, 0, 2)","(0, 0, 0, 0)"
26,26,38,PET SUPPLIES,"(1, 0, 4)","(0, 0, 0, 0)"
27,27,38,PLAYERS AND ELECTRONICS,"(1, 0, 2)","(0, 0, 0, 0)"
28,28,38,POULTRY,"(2, 1, 2)","(2, 0, 1, 7)"
29,29,38,PREPARED FOODS,"(1, 0, 4)","(0, 0, 0, 0)"
30,30,38,PRODUCE,"(4, 0, 3)","(0, 0, 0, 0)"
31,31,38,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 1)","(0, 0, 0, 0)"
32,32,38,SEAFOOD,"(1, 0, 2)","(0, 0, 0, 0)"
0,0,39,AUTOMOTIVE,"(0, 0, 0)","(0, 0, 0, 0)"
1,1,39,BABY CARE,"(1, 0, 1)","(0, 0, 0, 0)"
2,2,39,BEAUTY,"(2, 0, 1)","(0, 0, 0, 0)"
3,3,39,BEVERAGES,"(3, 0, 2)","(0, 0, 0, 0)"
4,4,39,BOOKS,-1,-1
5,5,39,BREAD/BAKERY,"(1, 0, 4)","(0, 0, 0, 0)"
6,6,39,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,39,CLEANING,"(2, 0, 1)","(0, 0, 0, 0)"
8,8,39,DAIRY,"(0, 1, 2)","(1, 0, 2, 7)"
9,9,39,DELI,"(2, 1, 2)","(0, 0, 2, 7)"
10,10,39,EGGS,"(3, 1, 0)","(1, 0, 1, 7)"
11,11,39,FROZEN FOODS,"(4, 0, 4)","(0, 0, 0, 0)"
12,12,39,GROCERY I,"(1, 0, 3)","(0, 0, 0, 0)"
13,13,39,GROCERY II,"(3, 0, 4)","(0, 0, 0, 0)"
14,14,39,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,39,HOME AND KITCHEN I,"(3, 0, 1)","(0, 0, 0, 0)"
16,16,39,HOME AND KITCHEN II,"(2, 1, 3)","(2, 0, 2, 7)"
17,17,39,HOME APPLIANCES,"(1, 0, 3)","(0, 0, 0, 0)"
18,18,39,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,39,LADIESWEAR,"(1, 0, 2)","(0, 0, 0, 0)"
20,20,39,LAWN AND GARDEN,"(2, 1, 1)","(1, 0, 1, 7)"
21,21,39,LINGERIE,"(2, 0, 1)","(0, 0, 0, 0)"
22,22,39,"LIQUOR,WINE,BEER","(3, 0, 4)","(0, 0, 0, 0)"
23,23,39,MAGAZINES,"(2, 0, 1)","(0, 0, 0, 0)"
24,24,39,MEATS,"(0, 0, 0)","(0, 0, 0, 0)"
25,25,39,PERSONAL CARE,"(1, 0, 4)","(0, 0, 0, 0)"
26,26,39,PET SUPPLIES,"(2, 1, 2)","(1, 0, 1, 7)"
27,27,39,PLAYERS AND ELECTRONICS,"(1, 0, 2)","(0, 0, 0, 0)"
28,28,39,POULTRY,"(1, 1, 1)","(0, 0, 2, 7)"
29,29,39,PREPARED FOODS,"(0, 1, 2)","(1, 0, 1, 7)"
30,30,39,PRODUCE,"(3, 0, 3)","(0, 0, 0, 0)"
31,31,39,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 4)","(0, 0, 0, 0)"
32,32,39,SEAFOOD,"(3, 0, 4)","(0, 0, 0, 0)"
